match_api_id,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,League_1.0,League_1729.0
503,665385.0,8.0,-8.0,4.0,1.0,0.0,0.0,1,0
508,665393.0,0.0,1.0,2.0,2.0,0.0,0.0,1,0
509,665396.0,12.0,1.0,7.0,3.0,0.0,0.0,1,0
512,665402.0,-8.0,0.0,1.0,4.0,0.0,0.0,1,0
514,665405.0,0.0,8.0,2.0,4.0,0.0,0.0,1,0
517,838468.0,1.0,6.0,3.0,5.0,0.0,1.0,1,0
520,838473.0,17.0,0.0,8.0,0.0,0.0,0.0,1,0
523,838476.0,1.0,-13.0,3.0,2.0,0.0,0.0,1,0
524,838581.0,6.0,6.0,4.0,6.0,1.0,0.0,1,0
525,838582.0,2.0,24.0,4.0,8.0,0.0,1.0,1,0
528,838585.0,-9.0,-7.0,3.0,3.0,1.0,1.0,1,0
529,838586.0,-1.0,-16.0,4.0,0.0,0.0,0.0,1,0
530,838587.0,-4.0,10.0,4.0,6.0,2.0,0.0,1,0
531,838588.0,0.0,0.0,0.0,4.0,0.0,0.0,1,0
532,838590.0,3.0,3.0,5.0,5.0,0.0,1.0,1,0
533,838591.0,8.0,4.0,5.0,4.0,1.0,0.0,1,0
534,838593.0,-5.0,-1.0,3.0,0.0,0.0,0.0,1,0
535,838594.0,-2.0,7.0,2.0,5.0,0.0,1.0,1,0
537,838596.0,-18.0,-11.0,0.0,2.0,0.0,0.0,1,0
538,838597.0,-1.0,-2.0,4.0,4.0,0.0,0.0,1,0
539,838598.0,2.0,18.0,5.0,7.0,0.0,2.0,1,0
540,838599.0,15.0,-2.0,6.0,3.0,1.0,0.0,1,0
541,838600.0,3.0,4.0,4.0,5.0,1.0,1.0,1,0
543,838603.0,-6.0,5.0,4.0,5.0,0.0,2.0,1,0
544,838604.0,-1.0,11.0,4.0,6.0,0.0,0.0,1,0
545,838605.0,-2.0,-4.0,4.0,3.0,2.0,0.0,1,0
546,838606.0,-1.0,-3.0,0.0,2.0,0.0,0.0,1,0
547,838607.0,1.0,-9.0,5.0,1.0,0.0,0.0,1,0
548,838621.0,5.0,3.0,5.0,4.0,1.0,2.0,1,0
549,838622.0,3.0,1.0,5.0,4.0,1.0,0.0,1,0
550,838623.0,12.0,14.0,6.0,6.0,0.0,2.0,1,0
552,838625.0,-2.0,-1.0,2.0,5.0,0.0,0.0,1,0
555,838632.0,-3.0,2.0,3.0,6.0,1.0,2.0,1,0
556,838635.0,11.0,2.0,6.0,4.0,2.0,1.0,1,0
557,838636.0,4.0,-9.0,4.0,1.0,0.0,0.0,1,0
558,838639.0,-18.0,-1.0,1.0,2.0,0.0,1.0,1,0
559,838640.0,0.0,-8.0,5.0,3.0,1.0,1.0,1,0
562,838644.0,-3.0,11.0,3.0,6.0,0.0,0.0,1,0
563,838646.0,-1.0,7.0,5.0,6.0,0.0,3.0,1,0
564,838651.0,4.0,-1.0,4.0,0.0,0.0,0.0,1,0
565,838652.0,8.0,8.0,7.0,5.0,0.0,0.0,1,0
566,838654.0,10.0,2.0,5.0,5.0,1.0,1.0,1,0
567,838656.0,-8.0,2.0,3.0,4.0,0.0,0.0,1,0
568,838657.0,2.0,2.0,3.0,5.0,0.0,1.0,1,0
569,838658.0,1.0,-4.0,1.0,2.0,0.0,0.0,1,0
571,838661.0,1.0,-5.0,4.0,2.0,0.0,0.0,1,0
572,838664.0,7.0,-1.0,5.0,5.0,2.0,1.0,1,0
573,838665.0,6.0,-3.0,6.0,3.0,0.0,0.0,1,0
574,838667.0,-9.0,9.0,3.0,6.0,0.0,3.0,1,0
575,838669.0,-2.0,3.0,2.0,5.0,0.0,0.0,1,0
576,838671.0,0.0,10.0,1.0,5.0,0.0,0.0,1,0
577,838673.0,1.0,-2.0,5.0,3.0,1.0,1.0,1,0
578,838675.0,-3.0,-21.0,0.0,1.0,0.0,0.0,1,0
579,838676.0,-6.0,2.0,2.0,5.0,0.0,1.0,1,0
582,838680.0,12.0,5.0,6.0,5.0,0.0,0.0,1,0
583,838681.0,-18.0,5.0,2.0,4.0,0.0,1.0,1,0
584,838684.0,0.0,5.0,4.0,6.0,1.0,0.0,1,0
585,838686.0,-5.0,0.0,2.0,3.0,2.0,1.0,1,0
586,838688.0,-3.0,-1.0,3.0,3.0,1.0,0.0,1,0
587,838689.0,2.0,-9.0,6.0,3.0,1.0,1.0,1,0
588,838692.0,4.0,-2.0,4.0,3.0,2.0,0.0,1,0
589,838694.0,-10.0,9.0,2.0,5.0,0.0,1.0,1,0
590,838695.0,-14.0,-1.0,3.0,4.0,0.0,0.0,1,0
591,838696.0,0.0,8.0,3.0,6.0,0.0,2.0,1,0
593,838699.0,3.0,2.0,6.0,5.0,0.0,2.0,1,0
595,838702.0,1.0,4.0,3.0,5.0,0.0,1.0,1,0
596,838707.0,6.0,7.0,6.0,7.0,2.0,0.0,1,0
597,838709.0,-1.0,-14.0,4.0,3.0,0.0,1.0,1,0
599,838712.0,8.0,-2.0,5.0,3.0,1.0,0.0,1,0
601,838714.0,-5.0,1.0,2.0,4.0,2.0,0.0,1,0
602,838716.0,-1.0,-12.0,3.0,1.0,0.0,1.0,1,0
603,838718.0,0.0,1.0,5.0,3.0,0.0,2.0,1,0
604,838478.0,4.0,-4.0,4.0,1.0,0.0,0.0,1,0
606,838481.0,-15.0,9.0,1.0,6.0,1.0,1.0,1,0
607,838482.0,6.0,-7.0,4.0,3.0,1.0,1.0,1,0
611,838489.0,-3.0,-7.0,0.0,3.0,0.0,0.0,1,0
612,838720.0,3.0,6.0,5.0,6.0,1.0,1.0,1,0
613,838721.0,-1.0,6.0,1.0,5.0,1.0,1.0,1,0
614,838723.0,-4.0,0.0,3.0,3.0,0.0,0.0,1,0
615,838725.0,2.0,-2.0,3.0,2.0,1.0,0.0,1,0
616,838727.0,2.0,-2.0,4.0,4.0,0.0,1.0,1,0
617,838728.0,-3.0,1.0,3.0,5.0,0.0,2.0,1,0
619,838732.0,-5.0,-2.0,3.0,1.0,0.0,1.0,1,0
621,838734.0,8.0,0.0,6.0,4.0,0.0,2.0,1,0
622,838735.0,10.0,-14.0,6.0,3.0,1.0,0.0,1,0
625,838739.0,-4.0,4.0,4.0,4.0,0.0,0.0,1,0
626,838741.0,1.0,1.0,3.0,3.0,0.0,1.0,1,0
627,838742.0,-2.0,-1.0,5.0,4.0,1.0,1.0,1,0
629,838748.0,-9.0,1.0,3.0,4.0,1.0,1.0,1,0
630,838750.0,-11.0,0.0,1.0,4.0,1.0,0.0,1,0
631,838752.0,-6.0,-1.0,2.0,3.0,0.0,2.0,1,0
632,838753.0,7.0,4.0,4.0,5.0,1.0,2.0,1,0
633,838754.0,7.0,9.0,7.0,5.0,0.0,2.0,1,0
634,838755.0,1.0,3.0,4.0,6.0,0.0,3.0,1,0
636,838759.0,9.0,-6.0,7.0,3.0,1.0,1.0,1,0
637,838761.0,5.0,7.0,5.0,6.0,2.0,1.0,1,0
638,838764.0,9.0,1.0,5.0,4.0,0.0,1.0,1,0
639,838765.0,-12.0,8.0,0.0,4.0,0.0,2.0,1,0
640,838767.0,-3.0,-5.0,1.0,2.0,0.0,0.0,1,0
641,838768.0,2.0,1.0,4.0,4.0,0.0,1.0,1,0
642,838770.0,-3.0,-15.0,2.0,3.0,1.0,0.0,1,0
643,838772.0,-2.0,-4.0,5.0,0.0,1.0,0.0,1,0
644,838773.0,5.0,-8.0,5.0,1.0,1.0,1.0,1,0
645,838774.0,-6.0,0.0,3.0,3.0,2.0,1.0,1,0
646,838775.0,-16.0,4.0,3.0,5.0,0.0,1.0,1,0
647,838777.0,5.0,8.0,4.0,5.0,0.0,1.0,1,0
648,838778.0,5.0,-7.0,5.0,3.0,1.0,0.0,1,0
649,838780.0,-2.0,0.0,3.0,5.0,1.0,1.0,1,0
651,838783.0,-7.0,-3.0,0.0,1.0,0.0,0.0,1,0
652,838789.0,12.0,-12.0,8.0,3.0,1.0,1.0,1,0
653,838790.0,5.0,-6.0,5.0,1.0,0.0,0.0,1,0
654,838791.0,11.0,6.0,6.0,6.0,1.0,0.0,1,0
655,838792.0,-9.0,2.0,1.0,4.0,1.0,2.0,1,0
656,838794.0,-4.0,3.0,1.0,4.0,0.0,0.0,1,0
657,838796.0,-8.0,-6.0,3.0,3.0,1.0,0.0,1,0
658,838798.0,1.0,1.0,3.0,4.0,1.0,0.0,1,0
659,838800.0,-4.0,-5.0,3.0,2.0,1.0,0.0,1,0
660,838802.0,5.0,1.0,6.0,4.0,2.0,0.0,1,0
661,838804.0,12.0,-4.0,8.0,3.0,2.0,1.0,1,0
662,838806.0,-5.0,12.0,4.0,7.0,0.0,2.0,1,0
663,838808.0,-12.0,-11.0,3.0,2.0,0.0,1.0,1,0
664,838809.0,1.0,-2.0,3.0,2.0,0.0,0.0,1,0
665,838810.0,-1.0,6.0,3.0,5.0,1.0,1.0,1,0
667,838814.0,-9.0,-5.0,1.0,1.0,0.0,0.0,1,0
668,838815.0,5.0,0.0,6.0,3.0,2.0,1.0,1,0
